Date,EPI
2012-12-01,84.31754646659033
2012-12-02,85.06112174449959
2012-12-03,85.6660375277019
2012-12-04,86.24185201984018
2012-12-05,86.7885652209144
2012-12-06,87.3061771309246
2012-12-07,87.79468774987072
2012-12-08,88.25409707775282
2012-12-09,88.6844051145709
2012-12-10,89.0856118603249
2012-12-11,89.45771731501486
2012-12-12,89.8007214786408
2012-12-13,90.11462435120268
2012-12-14,90.39942593270051
2012-12-15,90.65512622313432
2012-12-16,90.88172522250406
2012-12-17,91.07922293080976
2012-12-18,91.24761934805144
2012-12-19,91.38691447422907
2012-12-20,91.49710830934264
2012-12-21,91.57820085339216
2012-12-22,91.63019210637766
2012-12-23,91.65308206829911
2012-12-24,91.64687073915653
2012-12-25,91.61155811894989
2012-12-26,91.5471442076792
2012-12-27,91.45362900534448
2012-12-28,91.3310125119457
2012-12-29,91.1792947274829
2012-12-30,90.99847565195604
2012-12-31,90.78855528536515
2013-01-01,90.90826142124347
2013-01-02,90.2814106789912
2013-01-03,89.98418643920817
2013-01-04,89.65786090836112
2013-01-05,89.30243408644999
2013-01-06,88.91790597347484
2013-01-07,88.50427656943563
2013-01-08,88.06154587433238
2013-01-09,87.58971388816511
2013-01-10,87.08878061093375
2013-01-11,86.5587460426384
2013-01-12,85.99961018327897
2013-01-13,85.41137303285551
2013-01-14,84.794034591368
2013-01-15,84.14759485881645
2013-01-16,83.47205383520085
2013-01-17,82.77547798620043
2013-01-18,82.10626610589021
2013-01-19,81.47248465994946
2013-01-20,80.87413364837815
2013-01-21,80.31121307117624
2013-01-22,79.78372292834378
2013-01-23,79.29166321988076
2013-01-24,78.83503394578719
2013-01-25,78.41383510606305
2013-01-26,78.02806670070834
2013-01-27,77.67772872972307
2013-01-28,77.36282119310724
2013-01-29,77.08334409086085
2013-01-30,76.8392974229839
2013-01-31,76.63068118947636
2013-02-01,76.21208544058307
2013-02-02,76.31974002556962
2013-02-03,76.21741509517042
2013-02-04,76.15052059914065
2013-02-05,76.11905653748032
2013-02-06,76.12302291018939
2013-02-07,76.16241971726794
2013-02-08,76.2372469587159
2013-02-09,76.34750463453332
2013-02-10,76.49319274472016
2013-02-11,76.67431128927643
2013-02-12,76.89086026820216
2013-02-13,77.1428396814973
2013-02-14,77.4302495291619
2013-02-15,77.75308981119593
2013-02-16,78.10161592239533
2013-02-17,78.46608325755604
2013-02-18,78.84649181667803
2013-02-19,79.24284159976132
2013-02-20,79.65513260680594
2013-02-21,80.08336483781184
2013-02-22,80.52753829277903
2013-02-23,80.98765297170755
2013-02-24,81.46370887459734
2013-02-25,81.95570600144848
2013-02-26,82.46364435226087
2013-02-27,82.98752392703457
2013-02-28,83.52734472576958
2013-03-01,83.51251240295625
2013-03-02,84.65480999512351
2013-03-03,85.24245446574244
2013-03-04,85.84604016032264
2013-03-05,86.46556707886415
2013-03-06,87.10103522136697
2013-03-07,87.75244458783109
2013-03-08,88.41979517825654
2013-03-09,89.10308699264326
2013-03-10,89.80232003099127
2013-03-11,90.51749429330059
2013-03-12,91.24860977957121
2013-03-13,91.99566648980316
2013-03-14,92.75866442399638
2013-03-15,93.53760358215092
2013-03-16,94.33248396426673
2013-03-17,95.13419814083537
2013-03-18,95.88810153480576
2013-03-19,96.58508671666942
2013-03-20,97.22515368642638
2013-03-21,97.80830244407656
2013-03-22,98.33453298962003
2013-03-23,98.80384532305678
2013-03-24,99.21623944438677
2013-03-25,99.57171535361002
2013-03-26,99.87027305072657
2013-03-27,100.11191253573634
2013-03-28,100.29663380863941
2013-03-29,100.42443686943574
2013-03-30,100.49532171812537
2013-03-31,100.50928835470823
2013-04-01,102.01197873002947
2013-04-02,100.36646699155375
2013-04-03,100.20967899181642
2013-04-04,99.99597277997236
2013-04-05,99.72534835602154
2013-04-06,99.397805719964
2013-04-07,99.01334487179973
2013-04-08,98.57196581152873
2013-04-09,98.07366853915102
2013-04-10,97.51845305466655
2013-04-11,96.90631935807532
2013-04-12,96.23726744937738
2013-04-13,95.51129732857271
2013-04-14,94.72840899566131
2013-04-15,93.88860245064319
2013-04-16,92.99187769351832
2013-04-17,92.09708691513269
2013-04-18,91.26308230633227
2013-04-19,90.48986386711702
2013-04-20,89.77743159748697
2013-04-21,89.12578549744214
2013-04-22,88.53492556698254
2013-04-23,88.0048518061081
2013-04-24,87.53556421481888
2013-04-25,87.12706279311486
2013-04-26,86.77934754099603
2013-04-27,86.4924184584624
2013-04-28,86.26627554551398
2013-04-29,86.10091880215076
2013-04-30,85.99634822837274
2013-05-01,84.03099475436538
2013-05-02,85.96956558957231
2013-05-03,86.04735352454989
2013-05-04,86.18592762911268
2013-05-05,86.38528790326066
2013-05-06,86.64543434699385
2013-05-07,86.96636696031224
2013-05-08,87.34808574321582
2013-05-09,87.79059069570461
2013-05-10,88.29388181777861
2013-05-11,88.85795910943779
2013-05-12,89.4828225706822
2013-05-13,90.1684722015118
2013-05-14,90.91490800192659
2013-05-15,91.72212997192658
2013-05-16,92.59013811151178
2013-05-17,93.50458045097939
2013-05-18,94.37934517211265
2013-05-19,95.2000803052088
2013-05-20,95.96678585026781
2013-05-21,96.67946180728967
2013-05-22,97.33810817627439
2013-05-23,97.942724957222
2013-05-24,98.49331215013247
2013-05-25,98.98986975500581
2013-05-26,99.43239777184199
2013-05-27,99.82089620064107
2013-05-28,100.155365041403
2013-05-29,100.4358042941278
2013-05-30,100.66221395881546
2013-05-31,100.83459403546601
2013-06-01,102.47152985700258
2013-06-02,101.01726542465568
2013-06-03,101.0275567371948
2013-06-04,100.98381846169681
